"run_id","family","hypothesis","version","midgain_db","lower_cutoff_hz","upper_cutoff_hz","gain_at_10hz_relative_to_midband_db","gain_at_20khz_relative_to_midband_db","low_slope_1hz_10hz_db_dec","high_slope_100k_1meg_db_dec","passband_ripple_db","ac_nrmse","tran_nrmse","output_center","out_pp","worst_power_w","estimated_area_p","complexity_note","weighted_ac_nrmse","weighted_tran_nrmse","area_ratio_vs_current","power_ratio_vs_current","bandwidth_penalty","rolloff_penalty","low_frequency_shape_penalty","lf_rolloff_pressure_penalty","complexity_penalty","score","decision","notes","log_scan"
"run_009","low_frequency_rolloff_pressure","Push the existing input, interstage, and output coupling poles upward around the run-8 operating point to test whether stronger low-frequency rolloff can improve assignment alignment without collapsing overall relaxed PPA.","bjt2_autotopo_lfrp_rc125k_re4p05k_rb4p7m_cin33n_c12_33n_cout4p7n_ch27p_r11k_c180p_ft175k","40.059901","25.614263","20121.085569","-12.058938","-2.968435","51.6905","-83.5328","12.06099","0.111850652041","0.016904929325","2.49831","0.200837","6.231114024168e-5","9.005143e+7","no new passive topology; pressures the three existing high-pass coupling poles around the run-8 operating point","0.82050408","0.356138","0.49456414","0.95609657","0","0","3.01964603","0.08309504","0.02","5.75004387","rejected_score","valid under relaxed hard gates but lower ranked by transparent relaxed PPA score",""
"run_009","low_frequency_rolloff_pressure","Push the existing input, interstage, and output coupling poles upward around the run-8 operating point to test whether stronger low-frequency rolloff can improve assignment alignment without collapsing overall relaxed PPA.","bjt2_autotopo_lfrp_rc125k_re4p05k_rb4p7m_cin33n_c12_33n_cout4p7n_ch28p_r11k_c180p_ft175k","40.059665","25.613218","19844.884908","-12.058714","-3.040492","51.6905","-83.6901","12.06087","0.110020347396","0.017330130699","2.49831","0.200831","6.231114008699e-5","9.005387e+7","no new passive topology; pressures the three existing high-pass coupling poles around the run-8 operating point","0.80707749","0.36509577","0.49457755","0.95609657","0.03102302","0","3.01957137","0.08309515","0.02","5.77653692","rejected_score","valid under relaxed hard gates but lower ranked by transparent relaxed PPA score",""
"run_009","low_frequency_rolloff_pressure","Push the existing input, interstage, and output coupling poles upward around the run-8 operating point to test whether stronger low-frequency rolloff can improve assignment alignment without collapsing overall relaxed PPA.","bjt2_autotopo_lfrp_rc125k_re4p05k_rb4p7m_cin33n_c12_33n_cout6p8n_ch27p_r11k_c180p_ft175k","40.060009","24.886909","20120.700316","-11.30834","-2.968535","49.338","-83.5328","11.310491","0.113229011429","0.017578526886","2.498266","0.200815","6.231112259534e-5","9.261568e+7","no new passive topology; pressures the three existing high-pass coupling poles around the run-8 operating point","0.83061533","0.37032876","0.50864706","0.9560963","0","0","2.7694468","0.10662005","0.02","5.5617543","rejected_score","valid under relaxed hard gates but lower ranked by transparent relaxed PPA score",""
"run_009","low_frequency_rolloff_pressure","Push the existing input, interstage, and output coupling poles upward around the run-8 operating point to test whether stronger low-frequency rolloff can improve assignment alignment without collapsing overall relaxed PPA.","bjt2_autotopo_lfrp_rc125k_re4p05k_rb4p7m_cin33n_c12_33n_cout6p8n_ch28p_r11k_c180p_ft175k","40.059774","24.885879","19844.497116","-11.308117","-3.040593","49.338","-83.6901","11.310371","0.111421350373","0.018006201882","2.498266","0.200807","6.231112243326e-5","9.261812e+7","no new passive topology; pressures the three existing high-pass coupling poles around the run-8 operating point","0.81735485","0.37933863","0.50866048","0.9560963","0.03110058","0","2.76937223","0.10662016","0.02","5.58854323","rejected_score","valid under relaxed hard gates but lower ranked by transparent relaxed PPA score",""
"run_009","low_frequency_rolloff_pressure","Push the existing input, interstage, and output coupling poles upward around the run-8 operating point to test whether stronger low-frequency rolloff can improve assignment alignment without collapsing overall relaxed PPA.","bjt2_autotopo_lfrp_rc125k_re4p05k_rb4p7m_cin33n_c12_33n_cout10n_ch27p_r11k_c180p_ft175k","40.060064","24.506685","20120.50948","-10.885479","-2.968584","46.6361","-83.5328","10.887678","0.11494386566","0.0180698701","2.498183","0.200881","6.231108348435e-5","9.652311e+7","no new passive topology; pressures the three existing high-pass coupling poles around the run-8 operating point","0.843195","0.38067994","0.53010676","0.9560957","0","0","2.6284929","0.13363873","0.02","5.49220904","rejected_score","valid under relaxed hard gates but lower ranked by transparent relaxed PPA score",""
"run_009","low_frequency_rolloff_pressure","Push the existing input, interstage, and output coupling poles upward around the run-8 operating point to test whether stronger low-frequency rolloff can improve assignment alignment without collapsing overall relaxed PPA.","bjt2_autotopo_lfrp_rc125k_re4p05k_rb4p7m_cin33n_c12_33n_cout10n_ch28p_r11k_c180p_ft175k","40.059829","24.505639","19844.305313","-10.885255","-3.040642","46.6361","-83.6901","10.887558","0.113163600188","0.018499000298","2.498183","0.200873","6.231108332952e-5","9.652555e+7","no new passive topology; pressures the three existing high-pass coupling poles around the run-8 operating point","0.83013549","0.38972047","0.53012017","0.9560957","0.03113894","0","2.62841833","0.13363884","0.02","5.51926795","rejected_score","valid under relaxed hard gates but lower ranked by transparent relaxed PPA score",""
"run_009","low_frequency_rolloff_pressure","Push the existing input, interstage, and output coupling poles upward around the run-8 operating point to test whether stronger low-frequency rolloff can improve assignment alignment without collapsing overall relaxed PPA.","bjt2_autotopo_lfrp_rc125k_re4p05k_rb4p7m_cin33n_c12_47n_cout4p7n_ch27p_r11k_c180p_ft175k","40.060467","23.318725","20119.707172","-10.455734","-2.968793","50.251","-83.5328","10.458138","0.113117907303","0.018137806556","2.498342","0.200876","6.231184503585e-5","1.071464e+8","no new passive topology; pressures the three existing high-pass coupling poles around the run-8 operating point","0.8298003","0.38211117","0.5884503","0.95610739","0","0","2.48524477","0.09749024","0.02","5.35920416","rejected_score","valid under relaxed hard gates but lower ranked by transparent relaxed PPA score",""
"run_009","low_frequency_rolloff_pressure","Push the existing input, interstage, and output coupling poles upward around the run-8 operating point to test whether stronger low-frequency rolloff can improve assignment alignment without collapsing overall relaxed PPA.","bjt2_autotopo_lfrp_rc125k_re4p05k_rb4p7m_cin33n_c12_47n_cout4p7n_ch28p_r11k_c180p_ft175k","40.06024","23.317756","19843.494314","-10.455519","-3.040852","50.251","-83.6902","10.458031","0.111308437097","0.018567243297","2.498342","0.200868","6.231184492206e-5","1.071489e+8","no new passive topology; pressures the three existing high-pass coupling poles around the run-8 operating point","0.81652655","0.39115816","0.58846371","0.95610739","0.03130114","0","2.4851729","0.09749035","0.02","5.38622019","rejected_score","valid under relaxed hard gates but lower ranked by transparent relaxed PPA score",""
"run_009","low_frequency_rolloff_pressure","Push the existing input, interstage, and output coupling poles upward around the run-8 operating point to test whether stronger low-frequency rolloff can improve assignment alignment without collapsing overall relaxed PPA.","bjt2_autotopo_lfrp_rc125k_re4p05k_rb4p7m_cin33n_c12_47n_cout6p8n_ch27p_r11k_c180p_ft175k","40.060575","22.50482","20119.321949","-9.705142","-2.968893","47.8985","-83.5328","9.707656","0.11498148796","0.018816023208","2.498299","0.200826","6.231182884012e-5","1.097107e+8","no new passive topology; pressures the three existing high-pass coupling poles around the run-8 operating point","0.84347099","0.39639923","0.60253323","0.95610714","0","0","2.2350473","0.1210153","0.02","5.17457318","rejected_score","valid under relaxed hard gates but lower ranked by transparent relaxed PPA score",""
"run_009","low_frequency_rolloff_pressure","Push the existing input, interstage, and output coupling poles upward around the run-8 operating point to test whether stronger low-frequency rolloff can improve assignment alignment without collapsing overall relaxed PPA.","bjt2_autotopo_lfrp_rc125k_re4p05k_rb4p7m_cin33n_c12_47n_cout6p8n_ch28p_r11k_c180p_ft175k","40.060348","22.503858","19843.106552","-9.704926","-3.040952","47.8985","-83.6902","9.70755","0.113201809155","0.019247522267","2.498299","0.200818","6.231182872618e-5","1.097131e+8","no new passive topology; pressures the three existing high-pass coupling poles around the run-8 operating point","0.83041578","0.40548967","0.60254664","0.95610714","0.03137869","0","2.23497547","0.12101542","0.02","5.20192879","rejected_score","valid under relaxed hard gates but lower ranked by transparent relaxed PPA score",""
